tipo,anno,numero_atto,numero_parte,parametro_articolo,parametro_comma,norma_descrizione,norma_numero,norma_articolo,norme_str,n_norme
ordinanza,2023,82,1,3,,legge,388,80,legge n.388 art.80 c.19,1
ordinanza,2023,82,1,11,,legge,388,80,legge n.388 art.80 c.19,1
ordinanza,2023,82,1,38,1,legge,388,80,legge n.388 art.80 c.19,1
ordinanza,2023,82,1,117,1,legge,388,80,legge n.388 art.80 c.19,1
ordinanza,2024,65,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,65,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,65,1,117,1,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,66,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,66,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,66,1,117,1,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,67,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,67,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,67,1,117,1,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,68,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,68,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,68,1,117,1,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,69,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,69,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,69,1,117,1,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,70,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,70,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,70,1,117,1,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,71,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,71,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,71,1,117,1,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,208,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,208,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,239,1,3,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2024,239,1,53,,legge,197,1,legge n.197 art.1 c.115; legge n.197 art.1 c.116; legge n.197 art.1 c.117; legge n.197 art.1 c.118; legge n.197 art.1 c.119,5
ordinanza,2025,55,1,36,,decreto-legge,79,3,decreto-legge n.79 art.3 c.2; legge n.140 art. c.; decreto-legge n.78 art.12 c.7; legge n.122 art. c.,4
ordinanza,2025,61,1,36,,decreto-legge,79,3,decreto-legge n.79 art.3 c.2; legge n.140 art. c.; decreto-legge n.78 art.12 c.7; legge n.122 art. c.,4
ordinanza,2025,61,1,117,1,decreto-legge,79,3,decreto-legge n.79 art.3 c.2; legge n.140 art. c.; decreto-legge n.78 art.12 c.7; legge n.122 art. c.,4
ordinanza,2025,67,1,11,,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,67,1,97,,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,67,1,117,1,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,90,1,11,,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,90,1,117,1,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,94,1,3,,codice di procedura penale,,585,codice di procedura penale art.585 c.1; codice di procedura penale art.581 c.1; legge n.114 art.2 c.1,3
ordinanza,2025,110,1,11,,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,110,1,97,,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,110,1,117,1,legge,114,1,legge n.114 art.1 c.1,1
ordinanza,2025,111,1,11,,legge,114,1,legge n.114 art.1 c.1,1
