urn,codice_redazionale,data,titolo,articoli_modificati,n_articoli,tipo
urn:nir:stato:legge.costituzionale:1961-03-09;1,061C0001,1961-03-09,"Assegnazione di tre Senatori ai comuni di Trieste, Duino Aurisina, Monrupino, Muggia, San Dorligo della Valle e Sgonico.",,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:2002-10-23;1,002G0267,2002-10-23,Cessazione degli effetti dei commi primo e secondo della XIII disposizione transitoria e finale della Costituzione.,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1948-02-26;2,048C0002,1948-02-26,"Conversione in legge costituzionale dello Statuto della Regione siciliana, approvato col decreto legislativo 15 maggio 1946, n. 455.",,0,statuto_speciale
urn:nir:stato:legge.costituzionale:2001-01-31;2,001G0044,2001-01-31,Disposizioni concernenti l'elezione diretta dei presidenti delle regioni a statuto speciale e delle province autonome di Trento e di Bolzano.,,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1999-11-22;1,099G0559,1999-11-22,Disposizioni concernenti l'elezione diretta del Presidente della Giunta regionale e l'autonomia statutaria delle Regioni.,"121, 122, 123, 126",4,modifica_costituzione
urn:nir:stato:legge.costituzionale:1967-06-21;1,067C0001,1967-06-21,Estradizione per i delitti di genocidio.,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1993-08-06;1,093G0368,1993-08-06,Funzioni della Commissione parlamentare per le riforme istituzionali e disciplina del procedimento di revisione costituzionale.,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1989-04-03;2,089G0146,1989-04-03,Indizione di un referendum di indirizzo sul conferimento di un mandato costituente al Parlamento europeo che sara' eletto nel 1989,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1999-11-23;2,099G0560,1999-11-23,Inserimento dei principi del giusto processo nell'articolo 111 della Costituzione.,111,1,modifica_costituzione
urn:nir:stato:legge.costituzionale:2012-04-20;1,012G0064,2012-04-20,Introduzione del principio del pareggio di bilancio nella Carta costituzionale. (12G0064),"81, 97, 117, 119",4,modifica_costituzione
urn:nir:stato:legge.costituzionale:1997-01-24;1,097G0023,1997-01-24,Istituzione di una Commissione parlamentare per le riforme costituzionali.,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:2022-11-07;2,22G00184,2022-11-07,"Modifica all'articolo 119 della Costituzione, concernente il riconoscimento delle peculiarita' delle Isole e il superamento degli svantaggi derivanti dall'insularita'. (22G00184)",119,1,modifica_costituzione
urn:nir:stato:legge.costituzionale:2007-10-02;1,007G0181,2007-10-02,"Modifica all'articolo 27 della Costituzione, concernente l'abolizione della pena di morte.",27,1,modifica_costituzione
urn:nir:stato:legge.costituzionale:2023-09-26;1,23G00147,2023-09-26,"Modifica all'articolo 33 della Costituzione, in materia di attivita' sportiva. (23G00147)",33,1,modifica_costituzione
urn:nir:stato:legge.costituzionale:2000-01-17;1,000G0032,2000-01-17,Modifica all'articolo 48 della Costituzione concernente l'istituzione della circoscrizione Estero per l'esercizio del diritto di voto dei cittadini italiani residenti all'estero.,48,1,modifica_costituzione
urn:nir:stato:legge.costituzionale:2021-10-18;1,21G00156,2021-10-18,"Modifica all'articolo 58 della Costituzione, in materia di elettorato per l'elezione del Senato della Repubblica. (21G00156)",58,1,modifica_costituzione
urn:nir:stato:legge.costituzionale:2013-02-07;3,13G00057,2013-02-07,"Modifica degli articoli 15 e 16 dello Statuto speciale per la Sardegna, di cui alla legge costituzionale 26 febbraio 1948, n. 3, in materia di composizione ed elezione del Consiglio regionale. (13G00057)",,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1972-02-23;1,072C0001,1972-02-23,"Modifica del termine stabilito per la durata in carica dell'Assemblea regionale siciliana e dei Consigli regionali della Sardegna, della Valle d'Aosta, del Trentino-Alto Adige, del Friuli-Venezia Giulia.",,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:2013-02-07;1,13G00049,2013-02-07,"Modifica dell'articolo 13 dello Statuto speciale della regione Friuli-Venezia Giulia, di cui alla legge costituzionale 31 gennaio 1963, n. 1. (13G00049)",,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1986-05-09;1,086C0001,1986-05-09,"Modifica dell'articolo 16 dello statuto speciale per la Sardegna, approvato con la legge costituzionale 26 febbraio 1948, n. 3, concernente la definizione del numero dei consiglieri regionali.",,0,statuto_speciale
